scheme,label,episodes,episode_rewards_mean,episode_rewards_std,episode_completed_mean,episode_completed_std,episode_hits_mean,episode_hits_std,episode_dropped_mean,episode_dropped_std,episode_violation_steps_mean,episode_violation_steps_std,episode_avg_csafe_mean,episode_avg_csafe_std,episode_avg_rperf_mean,episode_avg_rperf_std,episode_avg_failed_offloads_mean,episode_avg_failed_offloads_std
baseline,Baseline PPO,500,62.674657327125075,5.030874496475504,569.14,33.28904324248445,532.5,33.060701746938165,1647.6,37.90725524223562,49.62,0.5617828762075256,3.6845669556830303,0.08426664494745006,1.2536222222222222,0.10061724811027159,32.952,0.7581451048447126
safe_a,Safe-A Hard,500,-37.7050725926021,3.1036445490638687,0.26,1.82,0.26,1.82,750.54,16.62072200597796,12.12,2.581782330096788,1.6911218012939877,0.03688871988545852,-0.16603555555555563,0.006281992292298177,15.010800000000001,0.33241444011955906
safe_b,Safe-B Soft,500,-22.852263641773767,2.2612613555535854,78.64,28.047645177447606,75.3,26.709736052608232,880.12,45.309884131390135,17.68,2.3103246525109844,1.979048255185942,0.1007446730222693,0.02937333333333333,0.07287029152991172,17.6024,0.9061976826278028
safe_c,Safe-C Balanced,500,-17.347521877024175,4.401677992793407,477.06,42.73986897499804,449.66,41.00273649404391,1505.76,64.50040620027133,41.08,2.9989331436362496,2.700164574686645,0.1146393544787055,1.1926,0.1177852073128387,30.115199999999994,1.2900081240054266
