scheme,episodes,episode_rewards_tail_mean,episode_rewards_tail_std,episode_completed_tail_mean,episode_completed_tail_std,episode_hits_tail_mean,episode_hits_tail_std,episode_dropped_tail_mean,episode_dropped_tail_std,episode_violation_steps_tail_mean,episode_violation_steps_tail_std,episode_avg_csafe_tail_mean,episode_avg_csafe_tail_std,episode_avg_rperf_tail_mean,episode_avg_rperf_tail_std,episode_avg_failed_offloads_tail_mean,episode_avg_failed_offloads_tail_std
Baseline,500,62.674657327125075,5.030874496475504,569.14,33.28904324248445,532.5,33.060701746938165,1647.6,37.90725524223562,49.62,0.5617828762075256,3.6845669556830303,0.08426664494745006,1.2536222222222222,0.10061724811027159,32.952,0.7581451048447126
Safe-A,500,-68.59517996046499,8.957284072392666,1.62,4.34,1.52,4.075487700877037,757.74,18.76998668086901,17.88,3.444648022657758,1.7071129945558852,0.04173381218003522,-0.16377333333333344,0.011523158860462544,15.1548,0.3753997336173801
Safe-B,500,-21.072006073042356,1.8726857550644778,2.24,5.522897790109826,2.22,5.47828440298603,754.6,21.19905658278217,17.8,3.3763886032268267,1.700181112498803,0.04710499046022115,-0.16123111111111119,0.014688953437410694,15.091999999999999,0.4239811316556434
Safe-C,500,-17.347521877024175,4.401677992793407,477.06,42.73986897499804,449.66,41.00273649404391,1505.76,64.50040620027133,41.08,2.9989331436362496,2.700164574686645,0.1146393544787055,1.1926,0.1177852073128387,30.115199999999994,1.2900081240054266
